scandals                                           Score: 0.0545944780416952
115                                                Score: 0.05393277742477251
2510                                               Score: 0.05393277742477251
international                                      Score: 0.05393277742477251
speiser                                            Score: 0.05393277742477251
make                                               Score: 0.05379991996202241
acres                                              Score: 0.05350680580554248
island                                             Score: 0.05350680580554248
basis                                              Score: 0.052931857189966944
legal                                              Score: 0.052670113618006754
non                                                Score: 0.05194489183066932
fund                                               Score: 0.051858439831512025
grantees                                           Score: 0.051858439831512025
ii                                                 Score: 0.051807544547319034
ex                                                 Score: 0.05165283819557444
sound                                              Score: 0.051567203185120265
2003                                               Score: 0.05155595884696122
ferc                                               Score: 0.05144885173609853
standard                                           Score: 0.05139958215409871
particular                                         Score: 0.050265593138360105
maj                                                Score: 0.050005303132489916
op                                                 Score: 0.050005303132489916
comm                                               Score: 0.049811754981114384
rosenberger                                        Score: 0.0496343110748814
backfill                                           Score: 0.04939089766665459
constitutional                                     Score: 0.04928391999064445
address                                            Score: 0.049264890581132224
intensity                                          Score: 0.04852842492595129
agencies                                           Score: 0.048288509644998534
challenge                                          Score: 0.04809342745977328
important                                          Score: 0.04808407442335175
epact                                              Score: 0.047332943597210644
tax                                                Score: 0.047208244329778604
speakers                                           Score: 0.04696950058936456
standards                                          Score: 0.04678275762697433
pursuant                                           Score: 0.04676185015738141
apply                                              Score: 0.04654586050256324
analysis                                           Score: 0.04638542298486116
2005                                               Score: 0.0456974738133583
concluded                                          Score: 0.045658444984326405
defendants                                         Score: 0.04563542705173058
added                                              Score: 0.04552297576105682
environmental                                      Score: 0.04527498952776671
provide                                            Score: 0.04512125695743494
finance                                            Score: 0.044675682161456245
expression                                         Score: 0.04454343384426177
integrity                                          Score: 0.044472013278294815
views                                              Score: 0.044280991917909136
emphasis                                           Score: 0.044253517522048626
simply                                             Score: 0.04376877218545015
regulations                                        Score: 0.0437244511448363
associated                                         Score: 0.04365957601882414
forum                                              Score: 0.0435610894584701
entities                                           Score: 0.04344634242663445
12                                                 Score: 0.04337860781499965
limit                                              Score: 0.04321746682499709
farm                                               Score: 0.04321703545832277
species                                            Score: 0.04321703545832277
spending                                           Score: 0.04320459037800963
governmental                                       Score: 0.04278742237440364
organization                                       Score: 0.042675043385485834
alternative                                        Score: 0.0425699343956766
construction                                       Score: 0.04248713147192325
admin                                              Score: 0.04246237181020738
bennett                                            Score: 0.04246237181020738
pines                                              Score: 0.04246237181020738
require                                            Score: 0.04197741784089229
council                                            Score: 0.0416398796183309
heightened                                         Score: 0.04150763130113642
voters                                             Score: 0.04150763130113642
significant                                        Score: 0.041163675819210516
2856                                               Score: 0.041159081388878825
jurisdiction                                       Score: 0.041159081388878825
organisms                                          Score: 0.041159081388878825
trench                                             Score: 0.041159081388878825
certain                                            Score: 0.04107909456282237
regulation                                         Score: 0.04104038907045963
independent                                        Score: 0.040957362537483034
speak                                              Score: 0.040790986134860686
2008                                               Score: 0.040420408022285775
individual                                         Score: 0.04018166428187174
adequate                                           Score: 0.04016878783488427
decisions                                          Score: 0.04004497872481372
circumvention                                      Score: 0.03942934525233542
play                                               Score: 0.03942934525233542
531                                                Score: 0.03941241427194914
affirmative                                        Score: 0.03941241427194914
compelled                                          Score: 0.03941241427194914
sex                                                Score: 0.03941241427194914
limitations                                        Score: 0.039333184743435126
suit                                               Score: 0.03914063795492917
eleventh                                           Score: 0.03910112731943488
petition                                           Score: 0.03910112731943488
judgment                                           Score: 0.038990278753881294
burden                                             Score: 0.038711846699010295
rejected                                           Score: 0.03870217032591961
different                                          Score: 0.03859979104676164
515                                                Score: 0.03859120062821809
noting                                             Score: 0.038487735394512994
power                                              Score: 0.038356003659413815
studies                                            Score: 0.038304618508647796
members                                            Score: 0.03823308501759703
approximately                                      Score: 0.038222626914906466
result                                             Score: 0.03809318686255378
15                                                 Score: 0.0380738341163724
2006                                               Score: 0.037969900113802885
explained                                          Score: 0.037857521124885087
context                                            Score: 0.03777449459190849
purpose                                            Score: 0.0376817916858412
department                                         Score: 0.03760043102472867
engage                                             Score: 0.03750397734936744
including                                          Score: 0.03740929851589048
trafficking                                        Score: 0.03733807667868866
commission                                         Score: 0.037071101185815
anchor                                             Score: 0.03704317324999094
ante                                               Score: 0.03704317324999094
disturbed                                          Score: 0.03704317324999094
habitats                                           Score: 0.03704317324999094
harvesting                                         Score: 0.03704317324999094
islands                                            Score: 0.03704317324999094
pellegrino                                         Score: 0.03704317324999094
permanently                                        Score: 0.03704317324999094
example                                            Score: 0.03698416614124766
discrimination                                     Score: 0.036774869681137856
way                                                Score: 0.03645665448744687
3702                                               Score: 0.03639631869446346
davis                                              Score: 0.03639631869446346
financing                                          Score: 0.03639631869446346
shrink                                             Score: 0.03639631869446346
benefits                                           Score: 0.03624712547685662
relief                                             Score: 0.03583237910273923
argument                                           Score: 0.03567600240987672
standing                                           Score: 0.03543602621488571
barnette                                           Score: 0.03526373908542818
twr                                                Score: 0.03526373908542818
wooley                                             Score: 0.03526373908542818
work                                               Score: 0.03503237427898772
coastal                                            Score: 0.034985219180547006
disturbance                                        Score: 0.034985219180547006
garrett                                            Score: 0.034985219180547006
iroquois                                           Score: 0.034985219180547006
recovery                                           Score: 0.034985219180547006
pay                                                Score: 0.034958538734057625
130                                                Score: 0.034768002758716124
applied                                            Score: 0.034728973929684236
recent                                             Score: 0.034682414717177895
500                                                Score: 0.03466530014288901
limited                                            Score: 0.03462659465052627
league                                             Score: 0.03458754667644911
services                                           Score: 0.03458754667644911
540                                                Score: 0.034110059195621024
person                                             Score: 0.034110059195621024
doctrine                                           Score: 0.0340894066236348
merely                                             Score: 0.0340894066236348
community                                          Score: 0.03391523190800247
scope                                              Score: 0.03352318947747127
conclude                                           Score: 0.033455454865836474
528                                                Score: 0.033363292136591505
donors                                             Score: 0.033363292136591505
fec                                                Score: 0.033363292136591505
appropriate                                        Score: 0.03323540438617874
encourage                                          Score: 0.033189401492167696
fight                                              Score: 0.033189401492167696
pathfinder                                         Score: 0.033189401492167696
generally                                          Score: 0.033142701480111454
2011                                               Score: 0.03314220778697739
fed                                                Score: 0.03307902769331623
biological                                         Score: 0.03292726511110306
branford                                           Score: 0.03292726511110306
lands                                              Score: 0.03292726511110306
petitioner                                         Score: 0.03292726511110306
thimble                                            Score: 0.03292726511110306
waiver                                             Score: 0.03292726511110306
code                                               Score: 0.03289362188118167
separate                                           Score: 0.0328905875995759
findings                                           Score: 0.03288012949688534
regulatory                                         Score: 0.03288012949688534
used                                               Score: 0.03286426942524046
matter                                             Score: 0.03270383190753838
consider                                           Score: 0.03264577366899427
stated                                             Score: 0.03262080537456179
question                                           Score: 0.032566807960857244
argue                                              Score: 0.032532471988954835
461                                                Score: 0.03228085180155334
inconsistent                                       Score: 0.03224560958878394
point                                              Score: 0.03217225942889802
cause                                              Score: 0.03213355393653529
respect                                            Score: 0.03211826201519349
communities                                        Score: 0.03204411005060396
reports                                            Score: 0.03196211845686263
access                                             Score: 0.031946593400989175
challenged                                         Score: 0.03193691702789849
548                                                Score: 0.03192273619093228
539                                                Score: 0.03180336432072525
definition                                         Score: 0.031761187588854614
undue                                              Score: 0.03168399245051823
22                                                 Score: 0.03162945585375544
directly                                           Score: 0.031561721242120644
held                                               Score: 0.03145372641471156
cited                                              Score: 0.03133992256668484
dissenting                                         Score: 0.031193628522702688
ass                                                Score: 0.031155941613659192
164                                                Score: 0.03111506389890721
2297                                               Score: 0.03111506389890721
alliance                                           Score: 0.03111506389890721
grantee                                            Score: 0.03111506389890721
library                                            Score: 0.03111506389890721
programs                                           Score: 0.03111506389890721
regan                                              Score: 0.03111506389890721
denied                                             Score: 0.031097883375115085
effect                                             Score: 0.030951183055343258
reasons                                            Score: 0.030785129989390064
ability                                            Score: 0.030702103456413467
sufficiently                                       Score: 0.030609400550346187
2007                                               Score: 0.030464520854473105
requires                                           Score: 0.030336584043726307
616                                                Score: 0.030330265578719554
campaigns                                          Score: 0.030330265578719554
contracts                                          Score: 0.030330265578719554
labor                                              Score: 0.030330265578719554
mcconnell                                          Score: 0.030330265578719554
poor                                               Score: 0.030330265578719554
wealth                                             Score: 0.030330265578719554
second                                             Score: 0.030282586630021764
high                                               Score: 0.030268849432091512
scheme                                             Score: 0.030141501858501056
applies                                            Score: 0.030126209937159254
diversity                                          Score: 0.029874476189415723
view                                               Score: 0.029824635820794802
grants                                             Score: 0.029818748763016205
receive                                            Score: 0.029764751349311665
2001                                               Score: 0.029530963671723677
mere                                               Score: 0.029393939725042537
randall                                            Score: 0.02937729757562246
officials                                          Score: 0.029245465613260208
conduct                                            Score: 0.029194473378308567
int                                                Score: 0.029125677388220958
potential                                          Score: 0.029101770472241287
upheld                                             Score: 0.029096154923990168
7601                                               Score: 0.029040726305646733
affirmatively                                      Score: 0.029040726305646733
aosi                                               Score: 0.029040726305646733
channels                                           Score: 0.029040726305646733
deductible                                         Score: 0.029040726305646733
global                                             Score: 0.029040726305646733
suppression                                        Score: 0.029040726305646733
opposed                                            Score: 0.02892042548494629
requiring                                          Score: 0.028886933647806916
appendix                                           Score: 0.028811356972215176
aquatic                                            Score: 0.028811356972215176
dependent                                          Score: 0.028811356972215176
engineered                                         Score: 0.028811356972215176
hdd                                                Score: 0.028811356972215176
route                                              Score: 0.028811356972215176
sedimentation                                      Score: 0.028811356972215176
shellfishing                                       Score: 0.028811356972215176
30                                                 Score: 0.028749872634099387
office                                             Score: 0.028735019672811727
preventing                                         Score: 0.028735019672811727
like                                               Score: 0.02863231705698461
making                                             Score: 0.028585889446616726
circumstances                                      Score: 0.028437234871759358
provision                                          Score: 0.028427558498668674
process                                            Score: 0.028423497673829106
